Prov,Mun,Brgy,Area,Lat,Long,Occurance,Elev,Slope,Aspect,HorizontalCurvature,VerticalCurvature,Lithology,SoilType,PGAComp,Landslide
Cotabato,Makilala,Batasan,345721,6.94913,125.219,29/31,1357,41.91636276,Southwest,0.004783034,-0.003032593,Dacitic and/or andesitic plugs,Undifferentiated,0.179864079,1
Cotabato,Makilala,Batasan,17104.4,6.95236,125.22,29/31,1455,39.23972702,North,0.005408041,0.001754712,Dacitic and/or andesitic plugs,Undifferentiated,0.179864079,1
Cotabato,Makilala,Batasan,9857.14,6.9595,125.227,29/31,1454,24.92467117,North,0.017517272,0.003537728,Dacitic and/or andesitic plugs,Undifferentiated,0.181845322,1
Cotabato,Makilala,Batasan,110311,6.95612,125.22,29/31,1343,45.53892136,Southwest,0.013987737,0.003295243,Dacitic and/or andesitic plugs,Undifferentiated,0.182235867,1
Cotabato,Makilala,Batasan,37609.1,6.95731,125.216,29/31,1543,32.18185425,Southeast,-0.004327124,-0.001768886,Dacitic and/or andesitic plugs,Undifferentiated,0.184692666,1
Cotabato,Makilala,Batasan,6999,6.95639,125.217,29/31,1376,42.18111038,Southeast,0.023081623,-0.008029964,Dacitic and/or andesitic plugs,Undifferentiated,0.184692666,1
Cotabato,Makilala,Batasan,130933,6.96537,125.223,29/31,1819,57.8524437,West,0.01178637,0.001257735,Dacitic and/or andesitic plugs,Undifferentiated,0.183889061,1
Cotabato,Makilala,Batasan,2676.48,6.92792,125.21,29/31,1228,30.67141342,East,0.003747318,-0.003398925,Dacitic and/or andesitic plugs,Undifferentiated,0.17439808,1
Cotabato,Makilala,Batasan,4617.22,6.92726,125.207,29/31,1235,23.37693596,Northeast,-0.013355508,-0.002010585,Dacitic and/or andesitic plugs,Undifferentiated,0.174228519,1
Cotabato,Kidapawan,Perez,2010.25,7.0053,125.163,29/31,620,11.73511124,Northeast,-0.120040923,-0.038066726,Dacitic and/or andesitic plugs,Undifferentiated,0.298935562,1
Cotabato,Magpet,Kinarum,3742.14,7.08514,125.217,29/31,761,49.45233536,North,-0.015955053,-0.000743215,Dacitic and/or andesitic plugs,Undifferentiated,0.272454143,1
Cotabato,Magpet,Bangkal,3763.55,7.0869,125.218,29/31,744,29.13528061,South,-0.003411125,0.002003327,Dacitic and/or andesitic plugs,Undifferentiated,0.266412407,1
Cotabato,Magpet,Bangkal,8312.15,7.08491,125.223,29/31,748,17.89219666,South,0.021391308,-0.009736237,Dacitic and/or andesitic plugs,Undifferentiated,0.24910517,1
